ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
MSFT,2023Q1,2023-03-31,2023-Q3,quarterly,USD,0000950170-23-014423,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,52857000000.0,16128000000.0,36729000000.0,14377000000.0,7393000000.0,6984000000.0,22352000000.0,132000000.0,22805000000.0,4374000000.0,,,18299000000.0,18299000000.0,0.0,18299000000.0,2.46,2.45,0.68,7441000000.0,7464000000.0,,,,,,,,,,,,
MSFT,2023Q2,2023-06-30,2023-Q4,quarterly,USD,0000950170-23-035122,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,56189000000.0,16795000000.0,39394000000.0,15140000000.0,8401000000.0,6739000000.0,24254000000.0,482000000.0,25209000000.0,4646000000.0,0.0,0.0,20081000000.0,20081000000.0,0.0,20081000000.0,2.7,2.69,0.68,7434000000.0,7467000000.0,,,,,,,,,,,,
MSFT,2023Q3,2023-09-30,2024-Q1,quarterly,USD,0000950170-23-054855,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855-index.htm,56517000000.0,16302000000.0,40215000000.0,13320000000.0,6661000000.0,6659000000.0,26895000000.0,149000000.0,27433000000.0,4993000000.0,,,22291000000.0,22291000000.0,0.0,22291000000.0,3.0,2.99,0.75,7429000000.0,7462000000.0,,,,,,,,,,,,
MSFT,2023Q4,2023-12-31,2024-Q2,quarterly,USD,0000950170-24-008814,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814-index.htm,62020000000.0,19623000000.0,42397000000.0,15365000000.0,8223000000.0,7142000000.0,27032000000.0,168000000.0,26694000000.0,4656000000.0,,,21870000000.0,21870000000.0,0.0,21870000000.0,2.94,2.93,0.75,7432000000.0,7468000000.0,,,,,,,,,,,,
MSFT,2024Q1,2024-03-31,2024-Q3,quarterly,USD,0000950170-24-048288,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,61858000000.0,18505000000.0,43353000000.0,15772000000.0,8119000000.0,7653000000.0,27581000000.0,190000000.0,26917000000.0,4788000000.0,,,21939000000.0,21939000000.0,0.0,21939000000.0,2.95,2.94,0.75,7431000000.0,7472000000.0,,,,,,,,,,,,
MSFT,2024Q2,2024-06-30,2024-Q4,quarterly,USD,0000950170-24-087843,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,64727000000.0,19684000000.0,45043000000.0,17118000000.0,9062000000.0,8056000000.0,27925000000.0,701000000.0,27951000000.0,5214000000.0,0.0,0.0,22036000000.0,22036000000.0,0.0,22036000000.0,2.96,2.95,0.75,7433000000.0,7472000000.0,,,,,,,,,,,,
MSFT,2024Q3,2024-09-30,2025-Q1,quarterly,USD,0000950170-24-118967,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967-index.htm,65585000000.0,20099000000.0,45486000000.0,14934000000.0,7390000000.0,7544000000.0,30552000000.0,582000000.0,30851000000.0,5602000000.0,,,24667000000.0,24667000000.0,0.0,24667000000.0,3.32,3.3,0.83,7433000000.0,7470000000.0,,,,,,,,,,,,
MSFT,2024Q4,2024-12-31,2025-Q2,quarterly,USD,0000950170-25-010491,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,69632000000.0,21799000000.0,47833000000.0,16180000000.0,8263000000.0,7917000000.0,31653000000.0,594000000.0,29959000000.0,5257000000.0,,,24108000000.0,24108000000.0,0.0,24108000000.0,3.24,3.23,0.83,7435000000.0,7468000000.0,,,,,,,,,,,,
MSFT,2025Q1,2025-03-31,2025-Q3,quarterly,USD,0000950170-25-061046,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,70066000000.0,21919000000.0,48147000000.0,16147000000.0,7949000000.0,8198000000.0,32000000000.0,594000000.0,31971000000.0,5553000000.0,,,25824000000.0,25824000000.0,0.0,25824000000.0,3.47,3.46,0.83,7434000000.0,7461000000.0,,,,,,,,,,,,
MSFT,2025Q2,2025-06-30,2025-Q4,quarterly,USD,0000950170-25-100235,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,76441000000.0,24014000000.0,52427000000.0,18104000000.0,9275000000.0,8829000000.0,34323000000.0,615000000.0,33231000000.0,5383000000.0,0.0,0.0,27233000000.0,27233000000.0,0.0,27233000000.0,3.66,3.65,0.83,7432000000.0,7461000000.0,,,,,,,,,,,,
MSFT,2025Q3,2025-09-30,2026-Q1,quarterly,USD,0001193125-25-256321,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,77673000000.0,24043000000.0,53630000000.0,15669000000.0,7523000000.0,8146000000.0,37961000000.0,698000000.0,34999000000.0,6554000000.0,,,27747000000.0,27747000000.0,0.0,27747000000.0,3.73,3.72,0.91,7433000000.0,7466000000.0,,,,,,,,,,,,
MSFT,2025Q4,2025-12-31,2026-Q2,quarterly,USD,0001193125-26-027207,https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/0001193125-26-027207-index.htm,81273000000.0,25978000000.0,55295000000.0,17020000000.0,8516000000.0,8504000000.0,38275000000.0,736000000.0,48982000000.0,9788000000.0,,,38458000000.0,38458000000.0,0.0,38458000000.0,5.18,5.16,0.91,7431000000.0,7460000000.0,,,,,,,,,,,,
MSFT,2026Q1,2026-03-31,2026-Q3,quarterly,USD,0001193125-26-191507,https://www.sec.gov/Archives/edgar/data/0000789019/000119312526191507/msft-20260331.htm,82886000000.0,26828000000.0,56058000000.0,17660000000.0,8745000000.0,8915000000.0,38398000000.0,778000000.0,40118000000.0,7562000000.0,,,31778000000.0,31778000000.0,0.0,31778000000.0,4.28,4.27,0.91,7426000000.0,7445000000.0,,,,,,,,,,,,
